description,variables,value,unit,unit(3d histogram),,,,15
Counter for Range within (40 50]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[62],0,(40 50],2,0136374_2020-8-20-16-34-15,,,
Counter for Range within (40 50]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[56],0,(40 50],-10,0136374_2020-8-20-16-34-15,,,
Counter for Range within (40 50]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[55],0,(40 50],-12,0136374_2020-8-20-16-34-15,,,
Counter for Range within (40 50]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[54],0,(40 50],-14,0136374_2020-8-20-16-34-15,,,
Counter for Range within (40 50]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[53],0,(40 50],-16,0136374_2020-8-20-16-34-15,,,
Counter for Range within (40 50]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[60],0,(40 50],-2,0136374_2020-8-20-16-34-15,,,
Counter for Range within (40 50]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[63],0,(40 50],4,0136374_2020-8-20-16-34-15,,,
Counter for Range within (40 50]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[59],0,(40 50],-4,0136374_2020-8-20-16-34-15,,,
Counter for Range within (40 50]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[58],0,(40 50],-6,0136374_2020-8-20-16-34-15,,,
Counter for Range within (40 50]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[57],0,(40 50],-8,0136374_2020-8-20-16-34-15,,,
Counter for Range within (50 60]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[77],0,(50 60],6,0136374_2020-8-20-16-34-15,,,
Counter for Range within (50 60]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[65],0,(50 60],-18,0136374_2020-8-20-16-34-15,,,
